,time,targetX,endEffectorX,targetY,endEffectorY,targetZ,endEffectorZ
223,44.543,0.6987051554092165,0.668,2.102044524462776,2.172,7.333972144052177,7.735
224,44.658,0.5680879271098425,0.574,2.1224034807868004,2.082,7.283017597289265,7.777
225,44.747,0.5306462726170267,0.436,2.1298297624573976,2.159,7.262700409681276,7.745
226,44.849,0.4771938587722676,0.477,2.149808153012827,2.21,7.2488019499215905,7.751
227,44.952,0.4226762800641776,0.329,2.1841233746782196,2.084,7.21442957907793,7.706
228,45.08,0.39477950133886663,0.274,2.1850170480865385,2.092,7.21023687936198,7.72
229,45.197,0.28852375848794076,0.248,2.1841798033956317,2.207,7.1663875924881895,7.593
230,45.303,0.24995868792833065,0.102,2.22595542642122,2.443,7.1579078815840145,7.524
231,45.409,0.16894790711171476,-0.068,2.234766180112047,2.437,7.118761685923187,7.449
232,45.514,0.11991842392992753,-0.073,2.2409694021401294,2.423,7.102577559894269,7.547
233,45.617,0.062446677046193014,-0.02,2.2530451476663416,2.415,7.0727376874534285,7.54
234,45.718,-0.014718137408421995,-0.193,2.257262866218966,2.414,7.053115353486754,7.465
235,45.825,-0.06817055125318108,-0.176,2.2620921145928485,2.385,7.021566779077652,7.439
236,45.931,-0.12496547463000739,-0.29,2.262092114592848,2.496,7.001754435233014,7.361
237,46.027,-0.1504642454794079,-0.29,2.272867375027073,2.496,6.9886090803181045,7.361
238,46.135,-0.2045116537595433,-0.393,2.2767071524026106,2.664,6.976119744908866,7.27
239,46.223,-0.3121584908265121,-0.536,2.275656003503839,2.624,6.930672710740078,7.225
240,46.375,-0.37507395136724403,-0.544,2.276757019641254,2.626,6.900375150272025,7.284
241,46.493,-0.3811487197284283,-0.669,2.279302873403572,2.596,6.892351740461647,7.225
242,46.596,-0.4824170500161536,-0.681,2.2745182430853186,2.574,6.852456600756291,7.15
243,46.697,-0.5393936616704491,-0.779,2.2709435494520425,2.64,6.8397786424025036,7.079
244,46.813,-0.5623640529028544,-0.805,2.2483025108122083,2.799,6.834054768195515,7.05
245,46.952,-0.602790388106462,-0.795,2.24939171628784,2.771,6.815523950827072,7.069
246,47.064,-0.6688652829683762,-1.019,2.238296255689695,2.674,6.788030769725758,6.957
247,47.166,-0.8004741686600441,-0.99,2.2296219807572597,2.56,6.741758510174571,6.892
248,47.277,-0.8504356710972457,-1.122,2.202868207225104,2.647,6.7131030788708195,6.866
249,47.393,-0.9305671361282474,-1.243,2.193066670240178,2.749,6.689464185732001,6.822
250,47.508,-0.9421300000157345,-1.243,2.1748572543608335,2.749,6.680714022811748,6.822
251,47.607,-1.0615338716484022,-1.194,2.1738585972922126,2.716,6.643510920866449,6.813
252,47.734,-1.1134523371352913,-1.243,2.142116787599968,2.749,6.6237748583596785,6.822
253,47.845,-1.1246837239364034,-1.338,2.11974214499815,2.612,6.612543471558566,6.733
254,47.945,-1.1588993713040785,-1.323,2.099174533649276,2.628,6.601312084757454,6.749
255,48.06,-1.2298521109893454,-1.411,2.0525670376582985,2.654,6.568178245454099,6.74
256,48.151,-1.2900894031041763,-1.467,2.0313130956302023,2.634,6.5599703734994215,6.662
257,48.24,-1.404852595527592,-1.517,2.0252424154732513,2.563,6.513355541394535,6.671
258,48.344,-1.458310557106014,-1.589,2.0060317179337783,2.588,6.484496230878661,6.663
259,48.462,-1.4756319685358843,-1.613,1.9609110530318246,2.678,6.4868526307520975,6.595
260,48.6,-1.5227072625348157,-1.61,1.9362477666354279,2.594,6.460488413451241,6.579
261,48.716,-1.5668547400930026,-1.67,1.9113928850589803,2.58,6.450734110737951,6.58
262,48.809,-1.6305663004144013,-1.72,1.833939877375584,2.662,6.430755334883417,6.54
263,48.902,-1.7042637813295272,-1.821,1.8181096536978285,2.676,6.402504888137077,6.506
264,49.034,-1.7754245610271637,-1.855,1.741552944014259,2.575,6.375616410005051,6.53
265,49.134,-1.8229630907869707,-1.964,1.741552944014259,2.547,6.35370979670256,6.455
266,49.245,-1.886051918004677,-1.932,1.7116089795046823,2.491,6.339861266545841,6.425
267,49.347,-1.8973457168095,-1.998,1.633062829458394,2.518,6.32856746774102,6.415
268,49.474,-1.9453474823301826,-1.947,1.588492016477271,2.467,6.312056025425973,6.399
269,49.562,-1.9855990639234,-2.016,1.5641699269768545,2.549,6.295443336971575,6.341
270,49.674,-2.0816885848365447,-2.151,1.502900150528979,2.59,6.266608991257187,6.3
271,49.801,-2.130895595495554,-2.145,1.4405437931969798,2.353,6.237966042354177,6.31
272,49.912,-2.1655342575550467,-2.222,1.360044947069078,2.443,6.240425075300382,6.3
273,50.021,-2.181457640101795,-2.222,1.3446215350749922,2.443,6.226243681123873,6.3
274,50.132,-2.216676040329091,-2.241,1.3073628340338883,2.41,6.220596088254754,6.259
275,50.233,-2.2608581912226726,-2.285,1.224677703180202,2.297,6.197772711964423,6.312
276,50.367,-2.3035105545586316,-2.271,1.1061918318678534,2.306,6.191358144916368,6.226
277,50.494,-2.360752070495344,-2.308,1.069984279725521,2.237,6.177662177435388,6.365
278,50.597,-2.3927444635974995,-2.39,1.0430625323368823,2.205,6.157860929058076,6.279
279,50.694,-2.448718322392175,-2.457,1.0091777436787273,2.121,6.140771135508643,6.14
280,50.779,-2.516017879460237,-2.501,0.9515955182989516,2.146,6.1152834601265695,6.139
281,50.881,-2.559790884996158,-2.536,0.9080325484567257,2.165,6.103483430624981,6.138
282,50.971,-2.591826273034203,-2.529,0.7966317619189933,2.077,6.090468447451156,6.193
283,51.062,-2.6080644894663374,-2.518,0.7558587328492876,2.098,6.089902578617512,6.227
284,51.161,-2.6746747406267484,-2.565,0.6830158201488937,1.92,6.069733792885013,6.128
285,51.285,-2.7018392185085194,-2.633,0.6409239338466466,1.925,6.056127976076059,6.191
286,51.403,-2.7226210288107993,-2.699,0.576973137173814,1.9,6.061883749751611,6.077
287,51.519,-2.7498118584274707,-2.771,0.47097507225436247,1.993,6.047223863546652,6.087
288,51.611,-2.754924094998093,-2.77,0.3975153805496957,1.938,6.047257149948631,6.118
289,51.722,-2.7848097362416544,-2.787,0.320596477238085,1.842,6.038021560332849,6.071
290,51.839,-2.829516147966407,-2.787,0.2936839159197223,1.842,6.024227120579346,6.071
291,51.909,-2.844044275496865,-2.838,0.25068260866011094,1.844,6.018127387416677,6.032
292,52.006,-2.866841300052296,-2.838,0.12264716114756091,1.532,6.018447769035727,6.131
293,52.117,-2.891294323106186,-2.89,0.09441311800514945,1.533,6.009497887703597,6.092
294,52.216,-2.918327042313457,-2.937,0.03346091712968658,1.568,6.00002651940713,6.031
295,52.332,-2.938056170153148,-2.936,-0.08582020540944833,1.607,5.993915690777135,6.019
296,52.441,-2.977919410389943,-2.931,-0.15109379620208344,1.491,5.978689935738532,6.108
297,52.55,-2.983395023515503,-2.977,-0.19432081833134357,1.399,5.978663584003631,6.111
298,52.678,-3.0167701892332066,-3.024,-0.24174718687267524,1.397,5.976284993195542,6.065
299,52.792,-3.022227772224362,-3.072,-0.33256198992098096,1.471,5.976284993195542,5.903
300,52.879,-3.03891674201663,-3.031,-0.3819830480080465,1.193,5.970647108860335,6.042
